Category,Metric,Mean,Std,Count
Cross-Lingual (Open-Text),EN-DE Similarity,0.6564298886805773,0.10295950419160417,16
Cross-Lingual (Open-Text),EN-TR Similarity,0.629297349601984,0.11144949806067413,16
Cross-Lingual (Open-Text),DE-TR Similarity,0.6982419975101948,0.10284125636391156,16
Cross-Lingual (Discrete),Classification Match Rate,1.0,,8
Cross-Lingual (Discrete),Reasoning Match Rate,0.25,,8
Cross-Lingual (Discrete),Factual Match Rate,1.0,,8
Stability (open_text_cosine),EN Run1-vs-Run2,0.8637947514653206,0.12993437209294006,8
Stability (open_text_cosine),DE Run1-vs-Run2,0.8976781070232391,0.08276019445938257,8
Stability (open_text_cosine),TR Run1-vs-Run2,0.8439077809453011,0.1479955421597434,8
Stability (discrete_match),EN Run1-vs-Run2,1.0,0.0,12
Stability (discrete_match),DE Run1-vs-Run2,0.9166666666666666,0.28867513459481287,12
Stability (discrete_match),TR Run1-vs-Run2,0.8333333333333334,0.38924947208076144,12
